State,County,POPESTIMATE2020,POPESTIMATE2021,DEATHS2020,DEATHS2021
Georgia,Mitchell County,21677,21521,92,296
Georgia,Monroe County,28046,28712,94,405
Georgia,Montgomery County,8577,8653,21,118
Georgia,Morgan County,20174,20635,70,222
Georgia,Murray County,39938,39951,142,490
Georgia,Muscogee County,206960,205617,544,2283
Georgia,Newton County,112780,115355,295,1168
Georgia,Oconee County,42021,43023,82,331
Georgia,Oglethorpe County,14865,15140,48,201
Georgia,Paulding County,169660,173780,337,1385
Georgia,Peach County,28035,28417,88,305
Georgia,Pickens County,33333,34024,95,440
Georgia,Pierce County,19722,19976,75,264
Georgia,Pike County,18935,19477,47,218
Georgia,Polk County,42925,43496,120,600
Georgia,Pulaski County,9863,9917,30,154
Georgia,Putnam County,22140,22585,70,339
Georgia,Quitman County,2224,2243,13,32
Georgia,Rabun County,16894,17119,89,294
Georgia,Randolph County,6377,6287,39,99
Georgia,Richmond County,206328,205673,585,2468
Georgia,Rockdale County,93614,94082,249,901
Georgia,Schley County,4538,4478,10,49
Georgia,Screven County,14060,14105,58,199
Georgia,Seminole County,9138,9197,31,126
Georgia,Spalding County,67413,67909,260,990
Georgia,Stephens County,26800,26865,85,413
Georgia,Stewart County,5295,5341,15,74
Georgia,Sumter County,29553,29283,107,386
Georgia,Talbot County,5731,5742,13,107
Georgia,Taliaferro County,1557,1558,10,29
Georgia,Tattnall County,22852,23052,62,282
Georgia,Taylor County,7814,7799,29,104
Georgia,Telfair County,12461,12414,45,209
Georgia,Terrell County,9153,8964,44,108
Georgia,Thomas County,45766,45842,138,608
Georgia,Tift County,41348,41212,122,464
Georgia,Toombs County,27052,26911,115,395
Georgia,Towns County,12539,12875,57,209
Georgia,Treutlen County,6390,6306,27,98
Georgia,Troup County,69388,69720,222,895
Georgia,Turner County,8971,8966,41,93
Georgia,Twiggs County,7986,7856,46,167
Georgia,Union County,24766,25521,121,412
Georgia,Upson County,27712,27720,124,471
Georgia,Walker County,67711,68510,223,981
Georgia,Walton County,97135,99853,265,1099
Georgia,Ware County,36218,36033,140,563
Georgia,Warren County,5205,5240,28,76
Georgia,Washington County,19927,19785,69,317
Georgia,Wayne County,30155,30380,96,389
Georgia,Webster County,2350,2367,7,15
Georgia,Wheeler County,7430,7471,24,73
Georgia,White County,28090,28442,101,405
Georgia,Whitfield County,102727,102848,256,995
Georgia,Wilcox County,8731,8739,31,130
Georgia,Wilkes County,9556,9513,36,157
Georgia,Wilkinson County,8844,8831,46,117
